ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count,Date
MD,2000,1,0,0,2000-04-01
MD,2000,2,0,0,2000-10-01
MD,2001,1,0,0,2001-04-01
MD,2001,2,0,0,2001-10-01
MD,2002,1,1,0,2002-04-01
MD,2002,2,2,0,2002-10-01
MD,2003,1,1,0,2003-04-01
MD,2003,2,0,0,2003-10-01
MD,2004,1,0,0,2004-04-01
MD,2004,2,0,0,2004-10-01
MD,2005,1,1,0,2005-04-01
MD,2005,2,1,0,2005-10-01
MD,2006,1,10,0,2006-04-01
MD,2006,2,40,0,2006-10-01
MD,2007,1,4,0,2007-04-01
MD,2007,2,9,0,2007-10-01
MD,2008,1,1,0,2008-04-01
MD,2008,2,4,0,2008-10-01
MD,2009,1,0,0,2009-04-01
MD,2009,2,0,0,2009-10-01
MD,2010,1,2,0,2010-04-01
MD,2010,2,11,0,2010-10-01
MD,2011,1,4,0,2011-04-01
MD,2011,2,6,0,2011-10-01
MD,2012,1,8,0,2012-04-01
MD,2012,2,7,0,2012-10-01
MD,2013,1,12,0,2013-04-01
MD,2013,2,48,0,2013-10-01
MD,2014,1,238,0,2014-04-01
MD,2014,2,94,0,2014-10-01
MD,2015,1,170,0,2015-04-01
MD,2015,2,453,0,2015-10-01
MD,2016,1,780,0,2016-04-01
MD,2016,2,965,0,2016-10-01
MD,2017,1,2070,38,2017-04-01
MD,2017,2,2255,19,2017-10-01
MD,2018,1,2936,2,2018-04-01
MD,2018,2,3255,3,2018-10-01
MD,2019,1,4112,0,2019-04-01
MD,2019,2,3397,0,2019-10-01
MD,2020,1,2834,0,2020-04-01
MD,2020,2,2799,0,2020-10-01
MD,2021,1,2437,0,2021-04-01
MD,2021,2,2031,0,2021-10-01
MD,2022,1,1988,0,2022-04-01
MD,2022,2,1574,0,2022-10-01
ME,1998,1,0,0,1998-04-01
ME,1998,2,0,0,1998-10-01
ME,1999,1,0,0,1999-04-01
ME,1999,2,0,0,1999-10-01
ME,2000,1,0,0,2000-04-01
ME,2000,2,0,0,2000-10-01
ME,2001,1,0,0,2001-04-01
ME,2001,2,0,0,2001-10-01
ME,2002,1,0,0,2002-04-01
ME,2002,2,3,0,2002-10-01
ME,2003,1,1,0,2003-04-01
ME,2003,2,0,0,2003-10-01
ME,2004,1,1,0,2004-04-01
ME,2004,2,2,0,2004-10-01
ME,2005,1,0,0,2005-04-01
ME,2005,2,0,0,2005-10-01
ME,2006,1,0,0,2006-04-01
ME,2006,2,2,0,2006-10-01
ME,2007,1,0,0,2007-04-01
ME,2007,2,0,0,2007-10-01
ME,2008,1,0,0,2008-04-01
ME,2008,2,0,0,2008-10-01
ME,2009,1,0,0,2009-04-01
ME,2009,2,1,0,2009-10-01
ME,2010,1,0,0,2010-04-01
ME,2010,2,1,0,2010-10-01
ME,2011,1,1,0,2011-04-01
ME,2011,2,0,0,2011-10-01
ME,2012,1,0,0,2012-04-01
ME,2012,2,1,0,2012-10-01
ME,2013,1,1,0,2013-04-01
ME,2013,2,2,0,2013-10-01
ME,2014,1,8,0,2014-04-01
ME,2014,2,29,0,2014-10-01
ME,2015,1,55,0,2015-04-01
ME,2015,2,94,0,2015-10-01
ME,2016,1,154,0,2016-04-01
ME,2016,2,119,0,2016-10-01
ME,2017,1,125,0,2017-04-01
ME,2017,2,177,0,2017-10-01
ME,2018,1,235,0,2018-04-01
ME,2018,2,208,0,2018-10-01
ME,2019,1,237,0,2019-04-01
